Row Labels,Average of Rainfall (mm),Average of temp_min (â°C),Average of temp_max (â°C),Average of humidity_min (%),Average of Humidity_max (%),Average of wind_speed_min (Kmph),Average of wind_speed_max (Kmph)
Jan-18,0,14.14028122,31.27811414,26.20860215,81.63382961,0.000248139,6.348883375
Feb-18,0.297985348,17.09835165,33.30604396,27.2984418,76.09459212,0.026556777,7.644688645
Mar-18,0.25566584,21.17684036,36.90330852,21.7789909,68.14722911,0.017535153,7.808767577
Apr-18,0.141880342,24.77435897,39.71299145,20.7317094,64.93205128,0.032363014,10.01934932
May-18,0.974110835,27.92820513,42.15500414,19.95682382,59.06641853,0.156079404,12.10818859
Jun-18,7.324444444,25.55564103,36.10735043,45.70017094,80.86529915,0.404615385,12.01452991
Jul-18,5.766997519,24.70818859,31.60372208,68.10363937,91.80181969,0.697932175,10.89859388
Aug-18,11.93945409,24.15657568,30.70148883,71.36335815,93.76004963,0.373614557,9.867907361
Sep-18,2.247435897,23.92,33.41760684,57.59435897,92.93290598,0.037435897,7.148803419
Oct-18,0.094457455,21.00913349,34.73715847,39.45862607,91.36190476,0.004449649,6.028259173
Nov-18,0,18.26786325,33.93649573,32.96401709,89.0517094,0.008205128,5.632735043
Dec-18,0.385827395,16.8111639,29.6925574,43.24346793,90.16864608,0.04608076,6.06888361
Jan-19,0.066955,15.04099,30.41039,35.25484,89.70574,0.042329,6.07978
Feb-19,0.084756,18.4365,33.70218,31.71638,83.02073,0.029617,6.087021
Mar-19,0.004406,21.72817,37.11975,25.58977,71.53399,0.061054,6.744611
Apr-19,0.077724,25.62171,40.76382,19.82886,8.589756,60.02203,0.05439
May-19,0.094099,28.54776,42.85838,14.19276,9.762077,42.26168,0.094886
Jun-19,3.368621,27.6231,38.94,33.79736,10.90632,70.35494,0.772644
Jul-19,9.87386,24.71346,32.66607,62.71468,9.989321,0.82792,91.05695
Aug-19,10.70501,23.96885,30.74249,76.2564,8.615239,0.640267,96.13715
Sep-19,12.76005,23.357,30.80935,77.48428,6.510226,0.192985,97.16635
Oct-19,5.05495,22.52344,31.6851,67.32189,4.506118,0.021357,96.38444
Nov-19,0.497586,18.83816,31.37954,50.45851,3.837701,-0.00402,95.94747
Dec-19,0.016352,17.54508,29.18324,49.85909,4.569765,0.009183,92.85149
Jan-20,0.585873,17.7495,29.36174,50.54405,92.15929,0,5.786207
Feb-20,0.027943,18.21891,31.50202,40.4887,87.58561,0,5.860404
Mar-20,0.346496,21.56352,34.93415,36.15039,85.41468,0,5.879422
Apr-20,0.299885,24.02103,38.65977,23.37023,71.24713,,6.733678
May-20,0.386986,27.65806,40.81424,21.00979,58.12425,,8.373415
Jun-20,5.472069,25.11586,34.6708,53.88494,88.30782,0.25069,9.183448
Jul-20,6.085095,24.33543,32.4309,70.72296,95.09271,0.20356,7.454283
Aug-20,11.3941,23.76262,30.04232,78.96771,95.95365,0.641935,7.611568
Sep-20,6.825057,23.98184,32.67333,72.76494,96.73747,0.053172,5.641292
Oct-20,2.302225,22.42269,32.37976,61.76318,96.0802,4.492984,0.029065
Nov-20,0.00023,17.43736,31.78069,40.18862,91.43253,5.906012,0.052254
Dec-20,0,14.8178,30.63393,34.8495,90.82447,5.107383,0.002237
Jan-21,0.022581,18.08943,31.11657,45.29244,92.36029,,
Feb-21,0.131158,16.03448,31.81749,31.74507,87.15049,,
Mar-21,0,20.21613,35.83126,24.21858,76.18865,,
Apr-21,0.175517,23.61954,38.61954,21.44207,70.69218,0.015287,6094.4
May-21,0.60631,26.08283,38.38701,19.67784,47.34402,0.163903,6.396405
Jun-21,8.825172,24.20207,33.47517,55.32713,91.64655,0.175172,8.464023
Jul-21,16.59511,24.17341,31.45017,69.18943,94.25072,0.207453,8.745829
Aug-21,6.239155,23.92592,31.3129,69.06808,95.17208,0.072636,8.281424
Sep-21,14.24218,23.33747,31.21977,72.42966,96.31736,0.033908,7.098736
Oct-21,1.891101,21.07264,32.598,52.91034,96.02036,0.004449,6.600556
Nov-21,0.328966,19.81839,31.50195,49.40414,93.29897,0,0
Dec-21,0.026808,15.83059,30.20801,41.11502,93.60945,0.010234,6.184538
Jan-22,0.652058,15.9683,28.7673,48.29633,94.39744,0.011791,6.1703
Feb-22,0.000493,11.21429,36.70357,13.31071,100,0,64.85714
Mar-22,0.005562,20.88287,36.57364,28.17586,81.64594,0.006563,6.166852
Apr-22,0.021494,25.02862,40.23126,24.40425,72.41011,0.04,6.602529
May-22,0.998109,27.00656,40.16129,27.41624,67.73048,0.056425,9.764581
Jun-22,4.618736,25.65448,36.61345,44.95115,84.41632,0.034253,10.26575
Jul-22,30.97864,23.26986,30.11034,77.07442,98.61646,0.26396,8.967075
Aug-22,4.475083,23.89522,32.37542,69.35495,98.12369,0.141918,8.621851
Sep-22,10.04356,23.09402,32.55828,70.06402,98.75011,0.065127,7.359007
