Row Labels,Average of Rainfall (mm),Average of temp_min (â°C),Average of temp_max (â°C),Average of humidity_min (%),Average of Humidity_max (%),Average of wind_speed_min (Kmph),Average of wind_speed_max (Kmph)
Jan-18,0,12.46095076,31.43675722,23.63752122,69.65297114,0.073835125,9.502509
Feb-18,0.608082707,17.2137218,33.47443609,25.25883459,66.95977444,0.147619048,11.62282
Mar-18,0.204244482,21.5106961,36.91850594,19.25925297,52.99660441,0.091577061,14.32921
Apr-18,0.421578947,25.68385965,39.59649123,19.60701754,55.28684211,0.171189591,16.64721
May-18,1.115110357,28.42088285,42.37741935,19.45382003,55.64499151,0.692114695,18.46254
Jun-18,7.836315789,24.97754386,35.54298246,47.24105263,82.38596491,0.885740741,17.80019
Jul-18,10.81731749,23.9901528,29.99575552,69.95493197,91.5505102,1.030645161,15.49982
Aug-18,15.75076401,23.72988115,29.81748727,72.37283531,92.24057725,0.711310592,15.94219
Sep-18,4.335789474,23.24631579,32.55719298,58.88578947,91.76105263,0.110740741,11.79259
Oct-18,0.020097245,19.8178282,34.24927066,39.23354943,88.43549433,0.043686007,9.874573
Nov-18,0.00754386,16.78087719,33.03122807,35.09754386,83.83105263,0.006505576,8.841822
Dec-18,0.31492109,14.15193687,28.37575323,43.21822095,88.74863702,0.102105263,7.016992
Jan-19,0.13085554,12.20126227,29.28190743,33.55736325,83.5430575,0.082698,7.256012
Feb-19,0.018478261,16.93835404,33.29285714,27.53850932,71.90729814,0.067045,10.35211
Mar-19,0.069424965,21.83211781,36.97265077,22.47798036,59.66381487,0.163783,11.79589
Apr-19,0.219565217,26.9815942,40.8173913,17.35594203,12.8369697,50.24246,0.164091
May-19,0.059607293,30.19032258,42.70687237,13.93800842,12.58716323,36.02987,0.741521
Jun-19,4.580555556,28.32833333,39.62611111,33.60703704,11.99128713,70.77833,0.784752
Jul-19,11.61810036,24.96792115,32.49695341,65.38781362,10.8749543,1.045155,92.30108
Aug-19,8.233691756,24.14426523,30.26487455,73.6483871,10.23046595,0.520789,96.31093
Sep-19,6.326628352,23.68860153,30.66072797,75.83170498,8.371264368,0.182375,97.66054
Oct-19,2.746953405,22.06639785,31.5531362,66.6311828,6.891397849,0.040323,98.05036
Nov-19,0.150185185,17.72351852,31.15537037,51.19166667,5.732407407,0.026296,96.40093
Dec-19,0.022939068,15.83548387,28.84229391,49.89130824,5.470250896,0.053943,93.60529
Jan-20,0.799462366,15.58691756,28.46827957,51.51810036,93.19193548,0,6.796168
Feb-20,0.134291188,16.52701149,31.29157088,39.10498084,83.79885057,0,7.786782
Mar-20,1.07688172,20.84139785,35.37741935,34.20412186,84.17293907,0,8.658244
Apr-20,0.560740741,24.32185185,38.9087037,24.0362963,66.05222222,,8.426296
May-20,0.491397849,28.03637993,41.37401434,21.14551971,55.64390681,,7.796237
Jun-20,4.806296296,25.67407407,35.26018519,51.79611111,87.57259259,0.234387,8.382528
Jul-20,11.30842294,24.78736559,32.89874552,68.68530466,96.11818996,0.131004,5.617025
Aug-20,8.288530466,24.18996416,29.9359319,76.91021505,95.47464158,0.291039,5.278315
Sep-20,5.232037037,24.37351852,32.72888889,69.475,96.22037037,0.058779,4.114695
Oct-20,2.048028674,22.23512545,32.5953405,58.82616487,94.14498208,4.266602,0.088672
Nov-20,0.152037037,16.85981481,31.27055556,42.26685185,88.11,4.102326,0.067636
Dec-20,0.000358423,13.22060932,30.33512545,35.88996416,86.93261649,3.901613,0.044624
Jan-21,0.010035842,15.5453405,31.46021505,39.52455197,87.78978495,,
Feb-21,0.082738095,14.43035714,32.2234127,25.8843254,74.94761905,,
Mar-21,0.01702509,20.20609319,36.55268817,18.76648746,59.77956989,,
Apr-21,0.301111111,24.27796296,38.80111111,19.11537037,57.31944444,0.143148,9.020741
May-21,0.841725768,26.73368794,38.32044917,19.65425532,44.13262411,0.146217,5.968322
Jun-21,10.62407407,24.50148148,33.50574074,54.86759259,89.47407407,0.095556,6.043889
Jul-21,14.51326165,24.58261649,31.68835125,68.57311828,93.81541219,0.087097,4.492294
Aug-21,8.47078853,24.23315412,31.52311828,67.29265233,94.28781362,0.071864,5.01828
Sep-21,11.72555556,23.67611111,31.13222222,69.50444444,94.92925926,0.079815,4.572222
Oct-21,2.116129032,20.57419355,32.09713262,53.20860215,93.34551971,0.001792,4.08405
Nov-21,0.795555556,18.76592593,30.82203704,51.25796296,92.0712963,0,0
Dec-21,0.26702509,13.99659498,29.11236559,42.940681,90.96810036,0.023118,3.948029
Jan-22,1.227777778,13.93888889,27.50663082,49.81487455,92.7188172,0.048029,3.894803
Feb-22,0.026587302,11.21428571,36.70357143,13.31071429,100,0,64.85714
Mar-22,0.005376344,20.31308244,37.09659498,21.52150538,67.26756272,0.010932,5.23853
Apr-22,0.356111111,25.97166667,40.54740741,21.98018519,63.39407407,0.089815,6.488704
May-22,0.890322581,28.01845878,40.64336918,26.13530466,62.5046595,0.125269,8.694444
Jun-22,5.770740741,26.72388889,36.71648148,47.0412963,80.08888889,0.105741,8.53537
Jul-22,27.96129032,23.6953405,29.63924731,81.9874552,98.73888889,0.265672,5.901306
Aug-22,6.635125448,24.38315412,32.11021505,74.87580645,98.4078853,0.23628,8.539042
Sep-22,7.857222222,24.38722222,32.75222222,75.79425926,99.22851852,0.164728,7.962289
