Row Labels,Average of Rainfall (mm),Average of temp_min (â°C),Average of temp_max (â°C),Average of humidity_min (%),Average of Humidity_max (%),Average of wind_speed_min (Kmph),Average of wind_speed_max (Kmph)
Jan-18,0,14.28709677,31.40289032,30.32451613,84.90593548,0.005290323,6.776129032
Feb-18,0.001285714,17.08942857,33.26171429,30.57357143,79.32485714,0.052142857,8.915285714
Mar-18,0.111870968,20.76,36.51483871,26.08916129,75.85290323,0.022967742,9.071096774
Apr-18,0.648666667,24.60546667,38.78226667,29.90253333,80.24773333,0.085943775,11.69491299
May-18,1.00116129,27.31148387,41.86683871,24.38606452,71.03664516,0.270967742,12.95896774
Jun-18,4.332533333,25.9432,36.8304,43.87853333,82.08466667,0.265066667,12.9556
Jul-18,7.324774194,25.18593548,31.69677419,69.81574194,92.39225806,0.519483871,13.01045161
Aug-18,10.03845161,24.80283871,31.40232258,71.65754839,94.54670968,0.516,12.58116129
Sep-18,3.403333333,24.40773333,33.8512,61.3856,95.6632,0.0568,8.6264
Oct-18,0.117094017,21.98778999,34.64639805,47.61623932,92.93614164,0.026739927,6.276190476
Nov-18,0,18.93453333,34.114,35.06253333,89.83546667,0.0016,6.8272
Dec-18,0.603498191,17.51073583,29.80579011,47.91712907,92.62689988,0.083835947,6.65331725
Jan-19,1.465232975,15.55101553,29.96810036,40.65770609,93.86798088,0.046833931,6.988291517
Feb-19,0.092989418,19.32380952,33.03306878,41.40291005,90.2265873,0.063756614,7.724206349
Mar-19,0.068578256,21.93034648,36.10083632,34.10262843,82.18267622,0.19223417,8.980286738
Apr-19,0.308641975,24.8662963,39.95901235,25.93691358,10.26592593,74.17506173,0.139506173
May-19,0.204062127,28.93333333,42.85686977,18.28876941,11.12783751,59.83679809,0.140621266
Jun-19,2.859375,28.21020833,39.134375,36.19020833,16.08625,73.88875,0.719375
Jul-19,9.606653226,25.27903226,33.25423387,62.09133065,15.31673387,0.576209677,92.00423387
Aug-19,7.843346774,24.62379032,31.34254032,73.66350806,13.02278226,0.843951613,96.07278226
Sep-19,10.34159483,23.85211925,31.62643678,76.91262572,10.91530172,0.236422414,97.98266882
Oct-19,8.025201613,22.83234207,32.56313844,70.58116599,6.624193548,0.019153226,98.58795363
Nov-19,0.44,19.52729167,31.63375,52.62145833,5.651666667,-0.00625,98.3175
Dec-19,0.065524194,17.95668683,29.56424731,50.31266869,6.950403226,0.008870968,95.93103159
Jan-20,0.163306452,18.41048387,29.45907258,53.22116935,93.30745968,0,8.996169355
Feb-20,0.549137931,18.82737069,31.22306034,46.98038793,91.24827586,0,9.263793103
Mar-20,0.677419355,22.20483871,34.18971774,46.69717742,88.75040323,0,10.3108871
Apr-20,0.393541667,23.71333333,37.62,33.24729167,79.05854167,,9.821666667
May-20,0.511895161,27.26310484,40.83467742,26.00846774,69.61532258,,13.04556452
Jun-20,6.526875,26.05104167,35.39645833,53.66333333,87.60020833,0.438541667,12.84229167
Jul-20,8.571572581,24.9625,33.24784946,71.26056788,97.05556116,0.17358871,10.91431452
Aug-20,17.28125,24.66735551,30.62533602,80.05329301,96.88514785,0.540725806,11.73024194
Sep-20,8.216666667,24.7025,33.065625,75.6625,97.83333333,0.083333333,8.435416667
Oct-20,4.650604839,23.07641129,32.36673387,67.61955645,96.97560484,6.430846774,0.047379032
Nov-20,0.045833333,18.96270833,31.75895833,41.75395833,89.75166667,6.972708333,0.02625
Dec-20,0,15.60967742,30.54495968,35.36270161,92.09556452,6.721572581,0.001008065
Jan-21,0.084475806,18.42580645,30.99092742,45.05524194,94.98447581,,
Feb-21,0.039732143,16.71986607,32.06026786,34.03883929,90.79397321,,
Mar-21,0,20.02197581,35.41995968,30.61108871,84.74314516,,
Apr-21,0.2725,23.74145833,38.05229167,29.33145833,82.00083333,0.06875,9.840416667
May-21,0.240558511,26.52792553,38.84255319,20.76569149,49.65531915,0.174601064,8.696542553
Jun-21,8.0575,25.00770833,34.19708333,55.12854167,93.25145833,0.118541667,12.875625
Jul-21,12.74072581,24.9421371,32.04112903,71.32782258,96.20947581,0.158870968,11.18387097
Aug-21,7.515120968,24.92157258,32.34919355,70.92157258,96.43790323,0.154637097,10.31552419
Sep-21,11.91916667,24.35458333,31.886875,76.69270833,97.796875,0.09625,9.282083333
Oct-21,1.686491935,22.39778226,33.28306452,55.40020161,96.4641129,0.018548387,6.24375
Nov-21,0.818541667,20.96666667,31.95479167,51.89395833,94.29270833,0,0
Dec-21,0,16.71653226,30.62943548,41.33528226,94.74254032,0.008870968,5.885282258
Jan-22,1.833266129,17.12197581,29.08629032,51.74556452,95.55967742,0.007862903,6.558669355
Feb-22,0,11.21428571,36.70357143,13.31071429,100,0,64.85714286
Mar-22,0,21.40564516,36.43165323,33.30866935,89.35020161,0.051814516,6.750806452
Apr-22,0.030833333,25.025,39.10270833,34.44916667,83.81416667,0.175,8.195625
May-22,0.56875,27.49858871,40.26028226,29.69576613,72.26129032,0.196848739,10.33109244
Jun-22,6.158125,26.75104167,37.42520833,42.64875,80.37791667,0.108333333,11.9925
Jul-22,22.25826613,23.91068548,30.61048387,74.31935484,97.04616935,0.426612903,10.82298387
Aug-22,5.436290323,24.87177419,32.29858871,68.38467742,95.69778226,0.158064516,9.354637097
Sep-22,6.964791667,24.02729167,32.39041667,70.43966597,96.80854167,0.056694561,8.288284519
