Row Labels,Average of Rainfall (mm),Average of temp_min (â°C),Average of temp_max (â°C),Average of humidity_min (%),Average of Humidity_max (%),Average of wind_speed_min (Kmph),Average of wind_speed_max (Kmph)
Jan-18,0,14.93648234,31.61282018,33.07986271,87.7812116,0.057619048,7.079385561
Feb-18,0.003380102,17.34367028,33.43253614,29.27110438,84.40988521,0.064591837,8.641785715
Mar-18,0.090375384,21.25115688,36.92141897,24.47747696,79.68244528,0.136159754,9.141213518
Apr-18,0.719776786,24.8855506,38.52697917,31.66870536,83.75287698,0.361307856,11.68475088
May-18,1.853960254,26.74389881,40.24260753,31.34405242,77.76768433,0.524301075,12.92311828
Jun-18,5.316359127,25.844375,36.17548115,46.24936012,82.26341766,0.156555556,12.0716508
Jul-18,5.723046275,25.06475134,31.66307604,67.43878168,91.53057796,0.256881721,11.87881721
Aug-18,8.339928956,24.67005568,31.08846007,69.21897082,92.63847927,0.255898618,12.46930876
Sep-18,1.792301588,24.19931548,33.53211806,57.8322123,92.98760417,0.054460318,8.86252381
Oct-18,0.322257957,22.01720167,34.2701688,45.43750857,91.48334351,0.035176993,7.196054165
Nov-18,0.090942461,18.94744544,33.53116072,38.29075397,91.11979663,0.079857143,7.04915873
Dec-18,0.724227151,17.58787443,29.28916091,51.11439613,92.09272754,0.215471464,7.085478909
Jan-19,0.683242,15.19388,29.82969,40.88732,93.14923,0.101106,7.734747
Feb-19,0.073182,19.66996,33.19744,38.29691,89.69938,0.152177,8.31068
Mar-19,0.001815,22.34635,36.29584,32.03191,87.17132,0.44788,9.893763
Apr-19,0.765749,24.86205,39.76826,24.78183,10.83083,81.31623,0.353302
May-19,0.220737,28.46847,41.92481,20.90503,11.29791,67.61833,0.238187
Jun-19,2.903485,28.59868,39.03052,37.10434,12.41755,72.85736,0.507188
   Jul-19,8.369911,25.35771,33.72633,62.08418,11.58445,0.146261,92.72702
   Aug-19,9.682258,25.02975,32.05874,74.28305,9.697355,0.205034,96.87476
   Sep-19,13.43495,24.45667,30.9629,80.27073,9.228746,0.118245,97.44529
Oct-19,8.256562,23.64533,33.12221,72.31827,6.47654,0.049753,98.56031
Nov-19,0.693731,20.5959,32.20775,56.89359,5.544261,0.007093,98.07832
Dec-19,0.139874,18.9064,30.30259,52.74318,6.226164,0.006681,96.33411
Jan-20,0.008321,19.3722,30.30338,53.04653,95.15116,0,0
Feb-20,0.471307,20.2299,31.8736,47.85155,93.82154,0,0
Mar-20,0.585722,22.97323,34.71587,46.55866,91.52367,0,0
Apr-20,0.659896,24.45023,37.65891,34.80831,85.85086,,
May-20,0.723488,27.48274,40.25384,29.45336,78.61965,,
Jun-20,6.496638,26.55128,35.75099,54.56327,89.2037,0.191818,0.191818
Jul-20,8.914892,25.1898,33.53319,71.83112,97.46364,0.04847,0.04847
Aug-20,26.15521,24.79554,30.86011,79.2741,97.39048,0.148322,0.148322
Sep-20,7.714811,25.08049,33.62967,73.58757,97.72106,0.043769,0.043769
Oct-20,5.914479,23.70828,32.81406,68.2037,97.3015,6.678695,6.678695
Nov-20,0.349053,19.52055,31.87761,50.22248,94.21696,6.97098,6.97098
Dec-20,0,15.93109,31.07547,41.73516,95.68349,6.660375,6.660375
Jan-21,0.000956,18.51183,31.86081,44.24158,96.10311,,
Feb-21,0.22209,17.31825,32.64974,35.50926,94.04511,,
Mar-21,0,20.68017,35.83811,30.87563,89.4828,,
Apr-21,1.252099,23.76963,37.4716,35.28654,87.66988,0.089012,10.05901
May-21,0.655477,26.28983,38.35351,23.48881,54.31734,0.24539,8.832939
Jun-21,9.580864,24.83148,33.96778,58.00173,93.83272,0.096049,10.47778
Jul-21,13.6055,24.70335,31.82879,71.76249,95.89152,0.084588,9.104062
Aug-21,7.488053,24.83082,32.60836,67.7994,96.27838,0.042055,8.397611
Sep-21,10.9121,24.2021,31.84222,73.94099,98.67086,0.08321,7.150494
Oct-21,1.230025,22.81836,33.234,56.72804,97.5196,0.038213,6.090323
Nov-21,1.548462,21.11872,31.65026,58.34462,97.06487,0,0
Dec-21,0,16.54615,30.61514,43.57196,96.74318,0.016377,5.83871
Jan-22,4.09603,16.80769,29.23995,51.44194,96.6263,0.037717,6.560298
Feb-22,0,11.21429,36.70357,13.31071,100,0,64.85714
Mar-22,0.001985,21.4,35.88288,34.11935,94.12953,0.026551,7.452605
Apr-22,0.001026,24.96308,37.94897,37.30641,92.07923,0.078718,8.733077
May-22,0.312655,26.9536,39.7129,31.25484,79.15583,0.106203,9.795285
Jun-22,6.635128,26.30256,36.94795,44.36359,83.69436,0.033077,9.724872
Jul-22,16.37196,24.0005,30.6531,74.67792,98.82333,0.233666,8.255611
Aug-22,6.668486,24.33772,32.43052,66.79677,98.3469,0.171679,8.541855
Sep-22,6.728974,23.81385,32.36205,69.41872,99.33154,0.062051,8.05359
